Date,Open,High,Low,Close,Adj Close,Volume,Label
2000-02-02/2000-02-07,6.375,6.375,5.625,6.0625,6.0625,106600,1
2000-02-03/2000-02-08,6.25,6.25,5.625,6.0,6.0,143300,2
2000-02-04/2000-02-09,5.875,6.125,5.75,6.0,6.0,225700,0
2000-02-07/2000-02-10,5.9375,6.125,5.75,6.0625,6.0625,296900,1
2000-02-08/2000-02-11,6.0,6.125,5.75,6.0,6.0,341800,0
2000-02-09/2000-02-14,5.875,6.75,5.75,6.4375,6.4375,372400,1
2000-02-10/2000-02-15,6.0,6.75,5.75,6.125,6.125,345800,2
2000-02-11/2000-02-16,5.875,6.75,5.625,6.125,6.125,313800,1
2000-02-14/2000-02-17,6.125,6.75,5.625,6.0,6.0,268300,1
2000-02-15/2000-02-18,6.5625,6.5625,5.625,5.9375,5.9375,174800,1
2000-02-16/2000-02-22,6.3125,6.375,5.5,5.875,5.875,104000,1
2000-02-17/2000-02-23,6.125,6.1875,5.5,5.75,5.75,63100,0
2000-02-18/2000-02-24,5.9375,6.1875,5.5,5.875,5.875,45800,1
2000-02-22/2000-02-25,6.0,6.1875,5.5,5.8125,5.8125,54700,0
2000-02-23/2000-02-28,6.0,6.1875,5.5625,6.0,6.0,85000,1
2000-02-24/2000-02-29,5.625,6.0,5.625,5.75,5.75,130900,0
2000-02-25/2000-03-01,5.875,6.125,5.625,6.0625,6.0625,158600,1
2000-02-28/2000-03-02,5.75,6.125,5.625,5.625,5.625,173800,0
2000-02-29/2000-03-03,5.75,6.125,5.5625,5.75,5.75,149400,0
2000-03-01/2000-03-06,6.0,6.1875,5.5625,6.0,6.0,129500,1
