Date,Open,High,Low,Close,Adj Close,Volume,Label
1986-11-25,0.0,18.5,18.375,18.375,14.145724,339000,1
1986-11-26,0.0,18.5,18.25,18.25,14.049493,160400,0
1986-11-28,0.0,18.75,18.5,18.5,14.241955,27100,1
1986-12-01,0.0,18.5,18.25,18.25,14.049493,39300,2
1986-12-02,0.0,18.5,18.25,18.25,14.049493,20900,2
1986-12-03,0.0,18.5,18.25,18.25,14.049493,23400,2
1986-12-04,0.0,18.5,18.25,18.25,14.049493,20900,2
1986-12-05,0.0,18.75,18.25,18.25,14.049493,21600,0
1986-12-08,0.0,19.0,18.5,18.5,14.241955,19600,2
1986-12-09,0.0,19.0,18.5,18.5,14.241955,10000,2
1986-12-10,0.0,19.0,18.5,18.5,14.241955,3700,2
1986-12-11,0.0,19.0,18.5,18.5,14.241955,2100,2
1986-12-12,0.0,19.0,18.5,18.5,14.241955,13200,2
1986-12-15,0.0,19.0,18.5,18.5,14.241955,26600,0
1986-12-16,0.0,18.875,18.375,18.75,14.434412,74000,1
1986-12-17,0.0,19.0,18.5,18.5,14.241955,125400,2
1986-12-18,0.0,18.75,18.375,18.5,14.241955,28400,1
1986-12-19,0.0,18.5,18.0,18.25,14.049493,116200,1
1986-12-22,0.0,18.5,17.5,18.0,13.857034,83600,2
1986-12-23,0.0,18.5,17.75,18.0,13.857034,14700,2
1986-12-24,0.0,18.25,17.875,18.0,13.857034,38000,2
1986-12-26,0.0,18.25,18.0,18.0,13.921229,400,2
1986-12-29,0.0,18.0,18.0,18.0,13.921229,1400,2
1986-12-30,0.0,18.25,18.0,18.0,13.921229,8400,2
1986-12-31,0.0,18.25,18.0,18.0,13.921229,4400,0
1987-01-02,0.0,18.5,17.75,18.5,14.307929,10100,2
1987-01-05,0.0,18.5,18.5,18.5,14.307929,4000,1
1987-01-06,0.0,18.5,18.375,18.375,14.21125,8300,0
1987-01-07,0.0,18.75,18.5,18.5,14.307929,4400,2
1987-01-08,0.0,19.0,18.5,18.5,14.307929,3600,0
1987-01-09,0.0,19.25,18.5,19.25,14.887983,3800,0
1987-01-12,0.0,19.75,19.0,19.75,15.274681,27100,1
1987-01-13,0.0,20.0,19.25,19.5,15.081329,7600,0
1987-01-14,0.0,20.75,19.5,20.75,16.048086,17500,2
1987-01-15,0.0,21.25,20.75,20.75,16.048086,8000,0
1987-01-16,0.0,21.0,20.5,20.875,16.144754,36500,0
1987-01-19,0.0,21.0,20.5,21.0,16.241436,8800,1
1987-01-20,0.0,21.0,20.75,20.75,16.048086,37200,2
1987-01-21,0.0,20.875,20.75,20.75,16.048086,8600,0
1987-01-22,0.0,22.5,20.75,22.5,17.401533,45700,1
1987-01-23,0.0,22.75,22.0,22.0,17.014835,37500,0
1987-01-26,0.0,22.5,21.75,22.25,17.208183,17300,2
1987-01-27,0.0,22.25,21.75,22.25,17.208183,4800,2
1987-01-28,0.0,22.25,21.75,22.25,17.208183,33200,2
1987-01-29,0.0,22.25,21.75,22.25,17.208183,7800,2
1987-01-30,0.0,22.5,22.25,22.25,17.208183,500,0
1987-02-02,0.0,23.25,22.0,23.25,17.981586,24200,0
1987-02-03,0.0,24.0,23.0,23.75,18.368286,166400,2
1987-02-04,0.0,23.75,23.625,23.75,18.368286,700,1
1987-02-05,0.0,23.75,23.5,23.5,18.174938,6900,0
1987-02-06,0.0,23.75,23.5,23.75,18.368286,3300,2
1987-02-09,0.0,23.75,23.25,23.75,18.368286,8700,2
1987-02-10,0.0,23.75,23.75,23.75,18.368286,200,1
1987-02-11,0.0,23.75,23.25,23.5,18.174938,21400,1
1987-02-12,0.0,23.5,23.25,23.25,17.981586,51000,0
1987-02-13,0.0,23.75,23.0,23.75,18.368286,6400,1
1987-02-17,0.0,23.75,23.0,23.5,18.174938,4700,1
1987-02-18,0.0,23.25,23.0,23.0,17.788239,2400,2
1987-02-19,0.0,23.0,23.0,23.0,17.788239,1700,0
1987-02-20,0.0,23.25,23.0,23.25,17.981586,300,2
1987-02-23,0.0,23.25,23.25,23.25,18.059263,600,1
1987-02-24,0.0,23.0,23.0,23.0,17.865076,2100,0
1987-02-25,0.0,23.25,22.75,23.25,18.059263,78000,0
1987-02-26,0.0,23.5,23.0,23.5,18.253448,19600,0
1987-02-27,0.0,25.0,23.5,25.0,19.418558,57500,0
1987-03-02,0.0,25.25,24.5,25.25,19.612745,106000,0
1987-03-03,0.0,25.75,25.0,25.75,20.001118,3900,1
1987-03-04,0.0,25.75,25.5,25.5,19.806931,3800,2
1987-03-05,0.0,26.125,25.5,25.5,19.806931,43200,0
1987-03-06,0.0,26.25,25.5,26.25,20.389486,2600,1
1987-03-09,0.0,26.25,25.75,26.0,20.195301,17700,0
1987-03-10,0.0,26.75,26.0,26.75,20.777861,63100,2
1987-03-11,0.0,27.0,26.5,26.75,20.777861,23100,0
1987-03-12,0.0,27.25,26.75,27.25,21.166231,5000,0
1987-03-13,0.0,27.75,27.25,27.5,21.360415,22700,0
1987-03-16,0.0,27.75,27.25,27.75,21.554604,15200,0
1987-03-17,0.0,28.25,27.75,28.25,21.942976,5300,2
1987-03-18,0.0,28.5,28.0,28.25,21.942976,19200,2
1987-03-19,0.0,28.25,28.25,28.25,21.942976,3400,1
1987-03-20,0.0,28.25,28.0,28.0,21.748787,900,2
1987-03-23,0.0,28.25,27.875,28.0,21.748787,48400,2
1987-03-24,0.0,28.25,28.0,28.0,21.748787,16900,0
1987-03-25,0.0,28.25,28.0,28.25,21.942976,5900,1
1987-03-26,0.0,28.25,28.0,28.0,21.748787,8600,2
1987-03-27,0.0,28.25,27.75,28.0,21.748787,48700,1
1987-03-30,0.0,28.0,27.625,27.75,21.554604,7700,2
1987-03-31,0.0,28.25,27.75,27.75,21.554604,85400,0
1987-04-01,0.0,28.5,28.0,28.25,21.942976,37700,0
1987-04-02,0.0,28.75,28.0,28.75,22.331341,43700,2
1987-04-03,0.0,28.75,28.25,28.75,22.331341,4300,1
1987-04-06,0.0,29.0,28.25,28.5,22.137157,14300,0
1987-04-07,0.0,29.5,28.5,29.5,22.913902,19500,2
1987-04-08,0.0,29.75,29.0,29.5,22.913902,7700,0
1987-04-09,0.0,30.5,30.0,30.0,23.302271,4200,0
1987-04-10,0.0,31.0,29.75,31.0,24.079016,43000,1
1987-04-13,0.0,31.0,29.75,29.75,23.108088,19400,1
1987-04-14,0.0,29.75,28.5,28.5,22.137157,55500,0
1987-04-15,0.0,29.0,28.25,29.0,22.525526,2500,1
1987-04-16,0.0,29.0,28.25,28.25,21.942976,1000,1
1987-04-20,0.0,29.0,27.75,27.75,21.554604,14400,0
1987-04-21,0.0,28.25,27.75,28.25,21.942976,5900,1
1987-04-22,0.0,27.75,27.75,27.75,21.554604,300,0
1987-04-23,0.0,28.25,27.75,28.0,21.748787,131900,1
1987-04-24,0.0,28.25,27.5,27.5,21.360415,7800,0
1987-04-27,0.0,27.75,27.25,27.75,21.554604,5100,1
1987-04-28,0.0,27.75,26.25,26.5,20.583675,42500,0
1987-04-29,0.0,27.25,26.25,27.25,21.166231,3800,0
1987-04-30,0.0,27.5,26.75,27.5,21.360415,10400,2
1987-05-01,0.0,27.5,27.25,27.5,21.360415,2400,2
1987-05-04,0.0,27.5,27.0,27.5,21.360415,4000,1
1987-05-05,0.0,27.0,27.0,27.0,20.972046,1200,2
1987-05-06,0.0,27.25,26.75,27.0,20.972046,5000,1
1987-05-07,0.0,27.125,25.5,26.0,20.195301,32200,0
1987-05-08,0.0,26.5,25.75,26.5,20.583675,3400,1
1987-05-11,0.0,26.0,26.0,26.0,20.271797,1200,0
1987-05-12,0.0,26.75,26.0,26.75,20.856564,14200,0
1987-05-13,0.0,27.0,27.0,27.0,21.051487,2400,0
1987-05-14,0.0,27.25,27.25,27.25,21.246405,1700,1
1987-05-15,0.0,27.0,26.5,26.5,20.661644,5300,1
1987-05-18,0.0,27.0,26.0,26.0,20.271797,10600,0
1987-05-19,0.0,26.75,25.75,26.5,20.661644,350500,0
1987-05-20,0.0,26.75,26.25,26.75,20.856564,181100,2
1987-05-21,0.0,26.75,26.5,26.75,20.856564,87500,0
1987-05-22,0.0,28.75,26.75,28.75,22.415932,158600,1
1987-05-26,0.0,28.75,27.75,27.75,21.636246,13600,0
1987-05-27,0.0,28.25,27.75,28.25,22.026089,75900,0
1987-05-28,0.0,30.0,28.25,30.0,23.390539,99900,2
1987-05-29,0.0,30.25,29.375,30.0,23.390539,72900,1
1987-06-01,0.0,30.0,29.0,29.75,23.195618,18700,1
1987-06-02,0.0,30.0,29.25,29.625,23.098156,69800,1
1987-06-03,0.0,29.75,29.25,29.25,22.805773,27600,0
1987-06-04,0.0,29.75,29.5,29.5,23.000698,32500,0
1987-06-05,0.0,30.0,29.5,29.75,23.195618,13600,0
1987-06-08,0.0,30.0,29.75,30.0,23.390539,24000,1
1987-06-09,0.0,30.0,29.75,29.75,23.195618,74900,2
1987-06-10,0.0,30.0,29.625,29.75,23.195618,19900,2
1987-06-11,0.0,30.0,29.75,29.75,23.195618,47000,1
1987-06-12,0.0,30.0,29.5,29.5,23.000698,3900,2
1987-06-15,0.0,30.0,29.25,29.5,23.000698,39700,1
1987-06-16,0.0,29.5,29.25,29.25,22.805773,2400,0
1987-06-17,0.0,29.5,29.25,29.5,23.000698,3100,1
1987-06-18,0.0,29.5,29.25,29.25,22.805773,36500,2
1987-06-19,0.0,29.5,29.25,29.25,22.805773,30600,0
1987-06-22,0.0,29.75,29.25,29.5,23.000698,19700,2
1987-06-23,0.0,29.75,29.5,29.5,23.000698,80800,0
1987-06-24,0.0,30.0,29.5,30.0,23.390539,55700,0
1987-06-25,0.0,30.25,30.0,30.25,23.585468,8400,0
1987-06-26,0.0,30.5,30.0,30.375,23.682917,23500,1
1987-06-29,0.0,30.5,30.0,30.25,23.585468,22500,0
1987-06-30,0.0,31.25,30.25,30.75,23.975304,62500,2
1987-07-01,0.0,31.0,30.75,30.75,23.975304,7800,0
1987-07-02,0.0,31.0,30.75,31.0,24.170225,110700,0
1987-07-06,0.0,31.5,30.75,31.25,24.365147,16700,0
1987-07-07,0.0,31.5,31.0,31.5,24.560061,20300,2
1987-07-08,0.0,32.0,31.25,31.5,24.560061,37500,0
1987-07-09,0.0,31.75,31.25,31.75,24.754986,214000,0
1987-07-10,0.0,32.0,31.5,32.0,24.949905,8700,1
1987-07-13,0.0,31.75,31.5,31.75,24.754986,23700,2
1987-07-14,0.0,31.75,31.5,31.75,24.754986,22900,0
1987-07-15,0.0,32.0,31.5,32.0,24.949905,22100,1
1987-07-16,0.0,32.125,31.5,31.75,24.754986,42000,0
1987-07-17,0.0,32.125,31.75,32.125,25.047363,13300,1
1987-07-20,0.0,31.75,31.75,31.75,24.754986,11600,2
1987-07-21,0.0,32.0,31.75,31.75,24.754986,19300,2
1987-07-22,0.0,32.0,31.75,31.75,24.754986,15800,0
1987-07-23,0.0,32.0,31.75,32.0,24.949905,36600,1
1987-07-24,0.0,32.0,31.5,31.5,24.560061,5700,1
